Time,Speed_des,Wheel_speed,Speed_error,Sp_err_cum,Angle_des,imu_angle,angle_err,ang_err_cum,angle_diff,motor_output
1666410655.0192015,1.3,0.0,1.3,0.010166788101196289,20,-9.243682861328125,29.243682861328125,0.2287033284228528,3739.3115053960123,-5110.439279700019
1666410655.0427322,1.3,-1.3413617451985678,2.6413617451985676,0.07231993614253344,20,-8.843185424804688,28.843185424804688,0.9074042965694389,-17.020193525507878,-621.5788335530665
1666410655.0702224,1.3,-0.7438467661539714,2.0438467661539717,0.1285055678542752,20,-6.93924617767334,26.93924617767334,1.6479679187527836,-69.2589894364365,-548.5320991575277
1666410655.092677,1.3,-1.2504483540852864,2.5504483540852867,0.1857752190012737,20,-2.8998937606811523,22.899893760681152,2.162179047504651,-179.88864114161942,-351.51856150454694
1666410655.1170263,1.3,-1.3333346048990886,2.6333346048990887,0.24989484326530753,20,2.197711706161499,17.8022882938385,2.595650750765344,-209.35401652827824,-226.4492643672884
1666410655.1415205,1.3,-1.8629158020019532,3.162915802001953,0.32736784422910814,20,8.218352317810059,11.781647682189941,2.8842324454344634,-245.798911773867,-67.82520501472692
1666410655.1695583,1.3,-1.168618138631185,2.468618138631185,0.3965824325099978,20,14.319779396057129,5.680220603942871,3.0434932579084943,-217.61443549690048,20.112959597140502
1666410655.1912014,1.3,-1.0512615203857423,2.3512615203857425,0.44747116596793907,20,20.014408111572266,-0.014408111572265625,3.0431814208188825,-263.1144550441737,194.31265956327076
1666410655.217634,1.3,-0.15358012517293293,1.453580125172933,0.48589294325385407,20,23.782751083374023,-3.7827510833740234,2.943193799127812,-142.5646816878033,132.78763881110598
1666410655.2413883,1.3,0.0,1.3,0.5167736090329679,20,24.63932228088379,-4.639322280883789,2.832989675437375,-36.05953850631819,27.3776270886464
1666410655.2672367,1.3,0.0,1.3,0.5503765143064053,20,22.835079193115234,-2.8350791931152344,2.7597074465381866,69.80098878394332,-134.61282134683952
1666410655.2916424,1.3,-0.1697590192159017,1.4697590192159018,0.5862470382364866,20,21.445655822753906,-1.4456558227539062,2.7244251784202334,56.930239828066235,-146.93452265265677
1666410655.3167315,1.3,0.16660327911376954,1.1333967208862306,0.6146828574655122,20,21.222774505615234,-1.2227745056152344,2.6937469576712374,8.883617945282284,-92.73195522326832
1666410655.3416224,1.3,0.0,1.3,0.6470410270211763,20,23.188020706176758,-3.188020706176758,2.614394254165518,-78.9544061302682,57.11795201941304
1666410655.366614,1.3,0.16670657793680826,1.1332934220631918,0.6753640137147803,20,24.87881851196289,-4.878818511962891,2.4924640381202607,-67.65423618862273,83.94171065275755
1666410655.3925362,1.3,0.08357052008310954,1.2164294799168904,0.7068963716945461,20,26.050518035888672,-6.050518035888672,2.3356221464853206,-45.20086456656703,87.87703037412972
1666410655.416735,1.3,0.0,1.3,0.7383547733745388,20,27.28581428527832,-7.28581428527832,2.159314398522156,-51.04789304117363,127.88699569936685
1666410655.441882,1.3,0.5815452575683594,0.7184547424316406,0.7564217269151584,20,28.778369903564453,-8.778369903564453,1.9385650710512436,-59.353319301439214,178.02714829453083
1666410655.466819,1.3,0.0,1.3,0.7888400256364719,20,30.295562744140625,-10.295562744140625,1.6818230490946462,-60.840660076103795,221.94268775449183
1666410655.4975595,1.3,0.055109318097432455,1.2448906819025676,0.8271085870166455,20,31.724517822265625,-11.724517822265625,1.321405514883054,-46.48444565090937,249.1399884533472
1666410655.5167143,1.3,0.16937238375345867,1.1306276162465414,0.8487655182540721,20,32.866424560546875,-12.866424560546875,1.074951892155923,-59.61469237375686,298.7344709337557
1666410655.5415916,1.3,0.0,1.3,0.8811060209930247,20,33.79060363769531,-13.790603637695312,0.7318787731430803,-37.14947816336505,304.9068992619164
1666410655.5667717,1.3,0.1668338934580485,1.1331661065419516,0.9096392584527355,20,34.58472442626953,-14.584724426269531,0.3646339332765365,-31.537632677795347,329.5390148339531
1666410655.592872,1.3,0.32109994888305665,0.9789000511169434,0.9351887051299135,20,35.032203674316406,-15.032203674316406,-0.027708968104661835,-17.144694533762056,337.3582693253455
1666410655.6165333,1.3,0.5740409215291341,0.7259590784708659,0.9523658951534988,20,34.75775909423828,-14.757759094238281,-0.37689784086865075,11.598843243352176,311.0702427217273
1666410655.6418245,1.3,0.7335948308308919,0.5664051691691081,0.9666909640899158,20,33.84159851074219,-13.841598510742188,-0.7269685387534537,36.22447421261513,276.28294122058594
1666410655.667448,1.3,0.8336720148722331,0.46632798512776696,0.978639947174031,20,32.507179260253906,-12.507179260253906,-1.047446996356257,52.07782419770547,242.05525528233574
1666410655.6926868,1.3,0.7368252436319987,0.5631747563680013,0.9928537753882855,20,31.248964309692383,-11.248964309692383,-1.3313568209325695,49.85250191292191,229.65952104533653
1666410655.7166817,1.3,1.0679803212483725,0.23201967875162754,0.9984210696304103,20,30.213056564331055,-10.213056564331055,-1.5764183230905928,43.17195604220902,225.72457352392505
1666410655.741781,1.3,1.0874828338623046,0.21251716613769545,1.0037550969560356,20,28.758316040039062,-8.758316040039062,-1.7962457277801605,57.95945817580789,186.22311614105726
1666410655.7668314,1.3,0.9908260981241862,0.30917390187581384,1.0115000273893542,20,27.53676986694336,-7.536769866943359,-1.9850448403742575,48.76353634278426,179.15771720943974
1666410655.7919674,1.3,1.3115704854329426,-0.01157048543294259,1.0112091917374262,20,26.471641540527344,-6.471641540527344,-2.1477159830321852,42.374625336722694,170.9635612682944
1666410655.817446,1.3,0.6633303324381511,0.636669667561849,1.0274306444561603,20,26.347883224487305,-6.347883224487305,-2.309451169796148,4.857343377158097,219.8547824534896
