Time,Speed_des,Wheel_speed,Speed_error,Sp_err_cum,Angle_des,imu_angle,angle_err,ang_err_cum,angle_diff,motor_output
1665796347.5281155,1.5,0.0,1.5,0.014708518981933594,10,-2.71891450881958,12.71891450881958,0.12471759698837559,1297.0967224275432,-1439.9718291374886
1665796347.552936,1.5,-1.4380625406901042,2.938062540690104,0.08763289470637876,10,-2.4943151473999023,12.494315147399902,0.43483357294530833,-9.048921761682916,-273.3692657194769
1665796347.5780196,1.5,-0.49291400909423827,1.9929140090942383,0.1376222366970372,10,-0.21566201746463776,10.215662017464638,0.6910785588913484,-90.84255890711734,-163.17805594157113
1665796347.6028514,1.5,-0.5856096903483073,2.0856096903483072,0.18941162069713754,10,2.0870554447174072,7.912944555282593,0.8875709927544619,-92.73270856536601,-121.76552163330136
1665796347.6274147,1.5,-0.08397812048594157,1.5839781204859416,0.22831937031213556,10,4.296380519866943,5.703619480133057,1.0276707806001184,-89.94410148894454,-84.0438320891493
1665796347.652602,1.5,-0.24857786496480305,1.748577864964803,0.27236124505189613,10,6.873544692993164,3.126455307006836,1.1064176043873601,-102.32017265696733,-22.249780648916797
1665796347.6780393,1.5,-0.49582751592000324,1.9958275159200032,0.32312981817595604,10,8.53512191772461,1.4648780822753906,1.1436802282587166,-65.32036141416414,-22.296044498419008
1665796347.7054837,1.5,-0.16719700495402018,1.6671970049540201,0.368884977372871,10,8.884626388549805,1.1153736114501953,1.174290946130867,-12.735018677786465,-63.63013066020443
1665796347.7315185,1.5,0.08754109541575114,1.4124589045842488,0.4056581076616605,10,8.704144477844238,1.2958555221557617,1.2080283269474137,6.932324767852891,-86.6053046420248
1665796347.753266,1.5,0.0,1.5,0.4382794913286527,10,8.59929370880127,1.4007062911987305,1.238490311834056,4.821259428170497,-88.24753932122525
1665796347.777952,1.5,0.0,1.5,0.47530828084891635,10,9.384819030761719,0.6151809692382812,1.2536765829185867,-31.82086150280085,-39.441794649900956
1665796347.803406,1.5,0.0,1.5,0.5134893473619779,10,11.193073272705078,-1.1930732727050781,1.2233080429318477,-71.03995803750398,35.16494707155893
1665796347.8280365,1.5,-0.08406092325846354,1.5840609232584635,0.5525056337017342,10,12.221532821655273,-2.2215328216552734,1.1685904753116745,-41.75544972315794,32.81411309188921
1665796347.8526738,1.5,0.0,1.5,0.5894614671367928,10,13.019662857055664,-3.019662857055664,1.0941943702614196,-32.39529302469614,44.424131428893006
1665796347.8783803,1.5,0.0,1.5,0.6280212615627572,10,13.317028045654297,-3.317028045654297,1.008925090564361,-11.567690895094648,35.675806779493534
1665796347.902997,1.5,0.0,1.5,0.6649463390011117,10,13.820657730102539,-3.820657730102539,0.9148730355313717,-20.45884745762712,58.392361480637376
1665796347.927802,1.5,0.0,1.5,0.7021539424557015,10,14.134638786315918,-4.134638786315918,0.8123130352718988,-12.657939254133026,62.47778628939045
1665796347.9530902,1.5,0.0,1.5,0.740086099972181,10,14.177610397338867,-4.177610397338867,0.7066691848490052,-1.6992815793939622,58.16572763221455
1665796347.9776828,1.5,0.0,1.5,0.7769750569958016,10,14.206831932067871,-4.206831932067871,0.6032120899505742,-1.1882228620733115,62.871539191466006
1665796348.0037177,1.5,0.0,1.5,0.8160273049969002,10,14.237771034240723,-4.237771034240723,0.4928824330165469,-1.1883734134324804,68.37590073841635
1665796348.0284011,1.5,0.0,1.5,0.8530525182384774,10,14.177610397338867,-4.177610397338867,0.38976448914874595,2.437283879068869,68.3866253304094
1665796348.0527244,1.5,0.0,1.5,0.8895373557705208,10,14.152973175048828,-4.152973175048828,0.28875078810435184,1.0129093600211725,73.59578357541486
1665796348.0779865,1.5,0.0,1.5,0.9274305318493172,10,14.197091102600098,-4.197091102600098,0.18272337999130173,-1.7464065611521655,81.67085034002173
1665796348.10275,1.5,0.0,1.5,0.9645759080547616,10,14.411377906799316,-4.411377906799316,0.07348185203633761,-8.65330329462962,97.19370751835345
1665796348.1276917,1.5,0.0,1.5,1.0019884322780892,10,14.635403633117676,-4.635403633117676,-0.042132915102939705,-8.98198120692457,107.28110764623266
1665796348.1524622,1.5,0.0,1.5,1.0391441796917245,10,14.939644813537598,-4.939644813537598,-0.16449037843952397,-12.282400500505318,122.0242781860834
1665796348.1777258,1.5,0.0,1.5,1.0770395015377328,10,15.239301681518555,-5.239301681518555,-0.29685372741917604,-11.861234581882355,133.7620104420275
1665796348.2054105,1.5,0.0,1.5,1.1185665343899056,10,15.589951515197754,-5.589951515197754,-0.45160979422828973,-12.665839921459206,148.65906869451086
1665796348.2291744,1.5,0.0,1.5,1.1542123769420907,10,15.879295349121094,-5.879295349121094,-0.5913247517833327,-12.175774783542183,160.44168871519756
1665796348.2538853,1.5,0.0,1.5,1.1912787173885628,10,16.366310119628906,-6.366310119628906,-0.7486419639713233,-19.70850499300497,184.37041342064973
1665796348.2796822,1.5,0.0,1.5,1.2299740527767464,10,16.8521785736084,-6.852178573608398,-0.925406862668325,-18.83438077634011,201.56459470188878
1665796348.3032951,1.5,0.0,1.5,1.2653935168880746,10,17.5162353515625,-7.5162353515625,-1.1028875481929674,-28.122536348949918,231.678277217358
1665796348.3285599,1.5,0.0,1.5,1.3032906268734261,10,18.10065269470215,-8.100652694702148,-1.3075484322758086,-23.13173788313453,248.46440170370178
1665796348.3530753,1.5,0.0,1.5,1.3400637124676034,10,18.734344482421875,-8.734344482421875,-1.5216742971165615,-25.848733284707027,273.6387631602244
